"id","domainname","notes","npi_count","is_athenahealth","is_multi_site","is_could_not_find_form","patient_record_request_form_url","is_plaintext_email_delivery_available","is_secure_email_non_Direct_delivery_available","is_fax_delivery_available","is_mail_delivery_available","is_Direct_delivery_available","is_portal_delivery_available","is_FHIR_url_delivery_available","is_non_FHIR_app_delivery_available","is_in_person_pickup_available","is_physical_disk_available","is_undefined_digital_delivery_available"
"126","pennmedicine.upenn.edu",,"115",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"127","umn.edu",,"113",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"128","uphs.upenn.edu",,"111",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"129","advancebt.com",,"111",NULL,"0","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"130","gacancer.com",,"109",NULL,"0","0","https://www.gacancer.com/wp-content/uploads/2017/02/roi-authorization.pdf","0","0","0","1","0","0","0","0","0","0","0"
"131","cherokeehealth.com",,"108",NULL,"0","0","https://www.cherokeehealth.com/Content/Uploads/cherokeehealth.com/files/Medical%20Records/Release%20of%20Information%20-%20English.pdf","0","0","1","1","0","0","0","0","0","0","0"
"132","ulp.org",,"108",NULL,"0","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"133","valleyhealthlink.com",,"102",NULL,"0","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"134","bcm.edu",,"101",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"135","signaturehealth.net",,"98",NULL,"0","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"136","pmamail.com",,"97",NULL,"0","0","https://storage.googleapis.com/treatspace-prod-media/pracf/u-1995/Authorization_for_Disclosure_of_Health_Information.pdf","0","0","0","1","0","0","0","0","0","0","0"
"137","KH.ORG",,"97",NULL,"0","0","http://www.kh.org/wp-content/uploads/2021/04/999999-071-1.pdf","1","0","1","1","0","0","1","0","0","1","0"
"138","lakehealth.org",,"97",NULL,"0","0","https://lakehealth.org/wp-content/uploads/2020/08/Authorization-for-Disclosure-of-Health-Information-Form-Lake-Health.pdf","0","0","1","1","0","0","0","0","1","0","1"
"139","northwestmedicalcenter.com",,"96","1","0","0","https://www.healthiertucson.com/Uploads/Public/Documents/Division%204/Northwest%20Medical%20Center/100-HIM-1406%20(English%20Patient%20Request%20for%20Health%20Information).pdf","1","0","1","1","0","0","0","0","1","1","0"
"140","ssmhc.com",,"94",NULL,"0","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"141","avitahs.org",,"94",NULL,"0","0","https://avitahealth.org/wp-content/uploads/PDFs/Authorization-for-Release-of-Information-form.pdf","1","0","1","1","0","0","0","0","0","0","0"
"142","hcmhcares.org",,"92",NULL,"0","0","https://cdn.hchcares.org/wp-content/uploads/2017/03/MedicalRecordsROI-Authorization-1-1.pdf","0","0","1","1","0","0","0","0","1","0","1"
"143","kp.org",,"92",NULL,"1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"144","ensignservices.net",,"91",NULL,"0","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"145","ffpcs.com",,"91",NULL,"0","0","https://www.inova.org/sites/default/files/Services/primary_care/Release-Medical-Information.pdf","0","0","1","1","0","1","0","0","1","1","0"
